s,p,o
odang_person_2556511,P19,Q961229
odang_person_2556511,P20,Q65
odang_person_2556511,P21,Q6581072
odang_person_2556511,P27,Q30
odang_person_2556511,P569,1931
odang_person_2556511,P6886,Q1860
odang_person_2556511,message,83
87,refersTo,odang_person_1357121
odang_person_1357121,label_it,Juan Pi
odang_person_1357121,P106,Q33231
odang_person_1357121,P19,Q71
odang_person_1357121,P21,Q6581097
odang_person_1357121,P27,Q414
odang_person_1357121,P569,1875
odang_person_1357121,message,87
199,refersTo,odang_person_5118321
odang_person_5118321,label_it,"John Cornelius Williams, Jr."
odang_person_5118321,P102,Q29552
odang_person_5118321,P106,Q40348
odang_person_5118321,P19,Q773325
odang_person_5118321,P21,Q6581097
odang_person_5118321,P27,Q30
odang_person_5118321,P39,Q19754409
odang_person_5118321,P569,1938
odang_person_5118321,message,199
138,refersTo,odang_person_3650570
odang_person_3650570,label_it,Ashleigh Ball
odang_person_3650570,P106,Q2405480
odang_person_3650570,P19,Q24639
odang_person_3650570,P21,Q6581072
odang_person_3650570,P27,Q16
odang_person_3650570,P569,1983
odang_person_3650570,message,138
20,refersTo,odang_person_3660869
odang_person_3660869,label_it,Anton van Gijn
odang_person_3660869,P103,Q7411
odang_person_3660869,P106,Q82955
odang_person_3660869,P108,Q156598
odang_person_3660869,P1412,Q7411
odang_person_3660869,P19,Q33433503
odang_person_3660869,P20,Q36600
odang_person_3660869,P21,Q6581097
odang_person_3660869,P27,Q29999
odang_person_3660869,P39,Q18887908
odang_person_3660869,P569,1866
odang_person_3660869,message,20
20,refersTo,odang_person_295192
odang_person_295192,label_it,Nguyen Phuc Buu Chanh
odang_person_295192,P102,Q6583042
odang_person_295192,P106,Q82955
odang_person_295192,P1412,Q9199
odang_person_295192,P21,Q6581097
odang_person_295192,P27,Q881
odang_person_295192,P569,1942
odang_person_295192,message,20
142,refersTo,odang_person_1331403
odang_person_1331403,label_it,Carole Mallory
odang_person_1331403,P103,Q1860
odang_person_1331403,P106,Q1930187
odang_person_1331403,P1412,Q1860
odang_person_1331403,P21,Q6581072
odang_person_1331403,P27,Q30
odang_person_1331403,P569,1941
odang_person_1331403,P6886,Q1860
odang_person_1331403,message,142
12,refersTo,odang_person_6236842
odang_person_6236842,label_it,Gheorghe Chiper
odang_person_6236842,P102,Q752435
odang_person_6236842,P106,Q82955
odang_person_6236842,P1412,Q7913
odang_person_6236842,P21,Q6581097
odang_person_6236842,P27,Q218
odang_person_6236842,P39,Q17556530
odang_person_6236842,P569,1939
odang_person_6236842,message,12
84,refersTo,odang_person_4316784
odang_person_4316784,label_it,Angelo Azzi
odang_person_4316784,P106,Q39631
odang_person_4316784,P19,Q279
odang_person_4316784,P21,Q6581097
odang_person_4316784,P569,1939
odang_person_4316784,message,84
182,refersTo,odang_person_4879456
odang_person_4879456,label_it,Ariel Graziani
odang_person_4879456,P106,Q937857
odang_person_4879456,P1412,Q1321
odang_person_4879456,P19,Q2195040
odang_person_4879456,P21,Q6581097
odang_person_4879456,P27,Q414
odang_person_4879456,P569,1971
odang_person_4879456,message,182
15,refersTo,odang_person_8640737
odang_person_8640737,label_it,Samuel Schnelle
odang_person_8640737,P106,Q40348
odang_person_8640737,P1412,Q188
odang_person_8640737,P19,Q1709
odang_person_8640737,P20,Q525960
odang_person_8640737,P21,Q6581097
odang_person_8640737,P27,Q183
odang_person_8640737,P3373,Q19964226
odang_person_8640737,P569,1803
odang_person_8640737,message,15
178,refersTo,odang_person_2593233
odang_person_2593233,label_it,Ted Cook
odang_person_2593233,P103,Q1860
odang_person_2593233,P106,Q19204627
odang_person_2593233,P19,Q79867
odang_person_2593233,P20,Q79867
odang_person_2593233,P21,Q6581097
odang_person_2593233,P27,Q30
odang_person_2593233,P569,1922
odang_person_2593233,message,178
36,refersTo,odang_person_7847150
odang_person_7847150,label_it,Else von Meister
odang_person_7847150,P569,1872
odang_person_7847150,message,36
87,refersTo,odang_person_8370372
odang_person_8370372,label_it,Frederick Forsyth
odang_person_8370372,P106,Q36180
odang_person_8370372,P108,Q130879
odang_person_8370372,P1412,Q1860
odang_person_8370372,P166,Q833154
odang_person_8370372,P19,Q725261
odang_person_8370372,P21,Q6581097
odang_person_8370372,P27,Q145
odang_person_8370372,P551,Q725261
odang_person_8370372,P569,1938
odang_person_8370372,P937,Q56037
odang_person_8370372,message,87
78,refersTo,odang_person_4844129
odang_person_4844129,label_it,Ralf Paul
odang_person_4844129,P106,Q644687
odang_person_4844129,P1412,Q188
odang_person_4844129,P19,Q3959
odang_person_4844129,P21,Q6581097
odang_person_4844129,P27,Q183
odang_person_4844129,P569,1971
odang_person_4844129,message,78
192,refersTo,odang_person_4886445
odang_person_4886445,label_it,Riccardo Cucchi
odang_person_4886445,P106,Q1930187
odang_person_4886445,P1412,Q652
odang_person_4886445,P19,Q220
odang_person_4886445,P21,Q6581097
odang_person_4886445,P27,Q38
odang_person_4886445,P569,1952
odang_person_4886445,P6886,Q652
odang_person_4886445,message,192
180,refersTo,odang_person_75695
odang_person_75695,label_it,Carl English
odang_person_75695,P106,Q3665646
odang_person_75695,P19,Q2082
odang_person_75695,P21,Q6581097
odang_person_75695,P27,Q16
odang_person_75695,P569,1981
odang_person_75695,message,180
95,refersTo,odang_person_4804222
odang_person_4804222,label_it,Mitridate II di Commagene
odang_person_4804222,P106,Q116
odang_person_4804222,P20,Q220
odang_person_4804222,P21,Q6581097
odang_person_4804222,P22,Q462768
odang_person_4804222,P25,Q2495012
odang_person_4804222,P26,Q6487856
odang_person_4804222,P3373,Q2457060
odang_person_4804222,P39,Q116
odang_person_4804222,P40,Q200922
odang_person_4804222,P53,Q653865
odang_person_4804222,P569,100
odang_person_4804222,message,95
100,refersTo,odang_person_196566
odang_person_196566,label_it,Robison Wells
odang_person_196566,P106,Q6625963
odang_person_196566,P1412,Q1860
odang_person_196566,P19,Q829
odang_person_196566,P21,Q6581097
odang_person_196566,P27,Q30
odang_person_196566,P569,1978
odang_person_196566,message,100
170,refersTo,odang_person_7285662
odang_person_7285662,label_it,Artem Semenenko
odang_person_7285662,P106,Q937857
odang_person_7285662,P19,Q157835
odang_person_7285662,P21,Q6581097
odang_person_7285662,P27,Q212
odang_person_7285662,P569,1988
odang_person_7285662,message,170
189,refersTo,odang_person_2658542
odang_person_2658542,label_it,Alfred Chastanet
odang_person_2658542,P106,Q47064
odang_person_2658542,P1412,Q150
odang_person_2658542,P166,Q10855195
odang_person_2658542,P21,Q6581097
odang_person_2658542,P27,Q142
odang_person_2658542,P569,1874
odang_person_2658542,message,189
23,refersTo,odang_person_6050594
odang_person_6050594,label_it,Francisco Isnardi
odang_person_6050594,P106,Q39631
odang_person_6050594,P1412,Q1321
odang_person_6050594,P19,Q495
odang_person_6050594,P21,Q6581097
odang_person_6050594,P27,Q717
odang_person_6050594,P569,1750
odang_person_6050594,message,23
196,refersTo,odang_person_1608650
odang_person_1608650,label_it,Elvira Mitraka
odang_person_1608650,P106,Q1650915
odang_person_1608650,P108,Q4119470
odang_person_1608650,P1412,Q9129
odang_person_1608650,P21,Q6581072
odang_person_1608650,P569,2000
odang_person_1608650,message,196
65,refersTo,odang_person_5402422
odang_person_5402422,label_it,Josep Antoni Pérez Pons
odang_person_5402422,P106,Q1650915
odang_person_5402422,P21,Q6581097
odang_person_5402422,message,65
147,refersTo,odang_person_7300181
odang_person_7300181,label_it,Carlos Vereza
odang_person_7300181,P106,Q33999
odang_person_7300181,P1412,Q5146
odang_person_7300181,P166,Q10341322
odang_person_7300181,P19,Q8678
odang_person_7300181,P21,Q6581097
odang_person_7300181,P27,Q155
odang_person_7300181,P40,Q10316403
odang_person_7300181,P551,Q8678
odang_person_7300181,P569,1939
odang_person_7300181,message,147
201,refersTo,odang_person_3619143
odang_person_3619143,label_it,Carl Cremer
odang_person_3619143,P102,Q316533
odang_person_3619143,P106,Q82955
odang_person_3619143,P1412,Q188
odang_person_3619143,P19,Q2066
odang_person_3619143,P20,Q23008
odang_person_3619143,P21,Q6581097
odang_person_3619143,P27,Q183
odang_person_3619143,P39,Q17850767
odang_person_3619143,P569,1876
odang_person_3619143,P937,Q64
odang_person_3619143,message,201
155,refersTo,odang_person_1224470
odang_person_1224470,label_it,August Klose
odang_person_1224470,P106,Q82955
odang_person_1224470,P1412,Q188
odang_person_1224470,P19,Q1040
odang_person_1224470,P21,Q6581097
odang_person_1224470,P27,Q183
odang_person_1224470,P39,Q30185
odang_person_1224470,P569,1791
odang_person_1224470,P937,Q1040
odang_person_1224470,message,155
176,refersTo,odang_person_2441039
odang_person_2441039,label_it,Glaucia di Macedonia
odang_person_2441039,P106,Q47064
odang_person_2441039,P21,Q6581097
odang_person_2441039,P569,400
odang_person_2441039,message,176
87,refersTo,odang_person_9195773
odang_person_9195773,label_it,Peter Bähr
odang_person_9195773,P106,Q16012028
odang_person_9195773,P1412,Q188
odang_person_9195773,P19,Q64
odang_person_9195773,P21,Q6581097
odang_person_9195773,P27,Q183
odang_person_9195773,P569,1936
odang_person_9195773,message,87
106,refersTo,odang_person_7234686
odang_person_7234686,label_it,Cunigonde van Polen
odang_person_7234686,P106,Q3721919
odang_person_7234686,P119,Q1543798
odang_person_7234686,P21,Q6581072
odang_person_7234686,P22,Q53457
odang_person_7234686,P25,Q252763
odang_person_7234686,P26,Q60831
odang_person_7234686,P3373,Q4767657
odang_person_7234686,P53,Q201615
odang_person_7234686,P569,1335
odang_person_7234686,message,106
25,refersTo,odang_person_6111666
odang_person_6111666,label_it,Dennis Lajola
odang_person_6111666,P106,Q10833314
odang_person_6111666,P19,Q928
odang_person_6111666,P21,Q6581097
odang_person_6111666,P27,Q30
odang_person_6111666,P569,1989
odang_person_6111666,message,25
198,refersTo,odang_person_8567239
odang_person_8567239,label_it,William Barnes
odang_person_8567239,P106,Q10871364
odang_person_8567239,P19,Q79867
odang_person_8567239,P20,Q79973
odang_person_8567239,P21,Q6581097
odang_person_8567239,P27,Q30
odang_person_8567239,P569,1919
odang_person_8567239,message,198
89,refersTo,odang_person_8366552
odang_person_8366552,label_it,Jules Van Volxem
odang_person_8366552,P106,Q82955
odang_person_8366552,P19,Q239
odang_person_8366552,P21,Q6581097
odang_person_8366552,P22,Q3120220
odang_person_8366552,P27,Q31
odang_person_8366552,P39,Q15705021
odang_person_8366552,P53,Q3065560
odang_person_8366552,P569,1822
odang_person_8366552,message,89
156,refersTo,odang_person_9535958
odang_person_9535958,label_it,Daniele Vergamini
odang_person_9535958,P106,Q1650915
odang_person_9535958,message,156
69,refersTo,odang_person_6527763
odang_person_6527763,label_it,Jonas Koller
odang_person_6527763,P106,Q4439155
odang_person_6527763,P1412,Q188
odang_person_6527763,P19,Q3624
odang_person_6527763,P21,Q6581097
odang_person_6527763,P27,Q183
odang_person_6527763,P569,1993
odang_person_6527763,message,69
144,refersTo,odang_person_1276957
odang_person_1276957,label_it,André Paisant
odang_person_1276957,P102,Q2344776
odang_person_1276957,P103,Q150
odang_person_1276957,P106,Q82955
odang_person_1276957,P1412,Q150
odang_person_1276957,P19,Q126668
odang_person_1276957,P20,Q316891
odang_person_1276957,P21,Q6581097
odang_person_1276957,P27,Q142
odang_person_1276957,P39,Q3044918
odang_person_1276957,P569,1868
odang_person_1276957,P937,Q90
odang_person_1276957,message,144
13,refersTo,odang_person_3661979
odang_person_3661979,label_it,Franck Morelle
odang_person_3661979,P106,Q2309784
odang_person_3661979,P1412,Q150
odang_person_3661979,P19,Q710138
odang_person_3661979,P21,Q6581097
odang_person_3661979,P27,Q142
odang_person_3661979,P569,1964
odang_person_3661979,message,13
84,refersTo,odang_person_85991
odang_person_85991,label_it,François d'Épenoux
odang_person_85991,P103,Q150
odang_person_85991,P106,Q36180
odang_person_85991,P1412,Q150
odang_person_85991,P19,Q23482
odang_person_85991,P21,Q6581097
odang_person_85991,P27,Q142
odang_person_85991,P569,1963
odang_person_85991,message,84
189,refersTo,odang_person_5061067
odang_person_5061067,label_it,Daniel Mestrum
odang_person_5061067,P106,Q12840545
odang_person_5061067,P1412,Q188
odang_person_5061067,P19,Q365
odang_person_5061067,P21,Q6581097
odang_person_5061067,P27,Q183
odang_person_5061067,P569,1993
odang_person_5061067,message,189
21,refersTo,odang_person_6758626
odang_person_6758626,label_it,Amei Oberli
odang_person_6758626,P106,Q483501
odang_person_6758626,P27,Q39
odang_person_6758626,P569,1928
odang_person_6758626,message,21
38,refersTo,odang_person_1608377
odang_person_1608377,label_it,Max Grohmann
odang_person_1608377,P106,Q37226
odang_person_1608377,P1412,Q188
odang_person_1608377,P19,Q1521118
odang_person_1608377,P20,Q57828
odang_person_1608377,P21,Q6581097
odang_person_1608377,P569,1861
odang_person_1608377,P937,Q57944
odang_person_1608377,message,38
103,refersTo,odang_person_1768185
odang_person_1768185,label_it,Greenwell Collins Matchaya
odang_person_1768185,P106,Q1650915
odang_person_1768185,message,103
99,refersTo,odang_person_2455139
odang_person_2455139,label_it,Osamu Kobayashi
odang_person_2455139,P106,Q33999
odang_person_2455139,P166,Q105727470
odang_person_2455139,P19,Q7473516
odang_person_2455139,P20,Q7473516
odang_person_2455139,P21,Q6581097
odang_person_2455139,P27,Q17
odang_person_2455139,P569,1934
odang_person_2455139,message,99
76,refersTo,odang_person_2501535
odang_person_2501535,label_it,Maksim Huscik
odang_person_2501535,P106,Q18617021
odang_person_2501535,P19,Q15180
odang_person_2501535,P21,Q6581097
odang_person_2501535,P27,Q184
odang_person_2501535,P569,1988
odang_person_2501535,message,76
127,refersTo,odang_person_8513951
odang_person_8513951,label_it,Enrique Moreno González
odang_person_8513951,P106,Q39631
odang_person_8513951,P108,Q219694
odang_person_8513951,P1412,Q1321
odang_person_8513951,P166,Q3320352
odang_person_8513951,P19,Q1372816
odang_person_8513951,P21,Q6581097
odang_person_8513951,P27,Q29
odang_person_8513951,P463,Q2134665
odang_person_8513951,P569,1939
odang_person_8513951,P937,Q5902531
odang_person_8513951,message,127
17,refersTo,odang_person_3688804
odang_person_3688804,label_it,Donato Bachi
odang_person_3688804,P103,Q652
odang_person_3688804,P106,Q131524
odang_person_3688804,P1412,Q652
odang_person_3688804,P19,Q495
odang_person_3688804,P20,Q495
odang_person_3688804,P21,Q6581097
odang_person_3688804,P27,Q38
odang_person_3688804,P569,1866
odang_person_3688804,P6886,Q652
odang_person_3688804,message,17
49,refersTo,odang_person_5198356
odang_person_5198356,label_it,Hugues Rey
odang_person_5198356,P106,Q201788
odang_person_5198356,P21,Q6581097
odang_person_5198356,P27,Q39
odang_person_5198356,message,49
112,refersTo,odang_person_5390785
odang_person_5390785,label_it,Thomas Lichtenegger
odang_person_5390785,P106,Q1650915
odang_person_5390785,P108,Q682739
odang_person_5390785,P21,Q6581097
odang_person_5390785,message,112
59,refersTo,odang_person_3700735
odang_person_3700735,label_it,Alexandru Covalenco
odang_person_3700735,P106,Q937857
odang_person_3700735,P1412,Q7737
odang_person_3700735,P19,Q132572
odang_person_3700735,P21,Q6581097
odang_person_3700735,P27,Q217
odang_person_3700735,P569,1978
odang_person_3700735,message,59
66,refersTo,odang_person_2699635
odang_person_2699635,label_it,Christer Petersson
odang_person_2699635,P106,Q36180
odang_person_2699635,P1412,Q9027
odang_person_2699635,P19,Q10659387
odang_person_2699635,P21,Q6581097
odang_person_2699635,P27,Q34
odang_person_2699635,P569,1943
odang_person_2699635,message,66
133,refersTo,odang_person_73929
odang_person_73929,label_it,Thorir Hund
odang_person_73929,P106,Q11900058
odang_person_73929,P21,Q6581097
odang_person_73929,P22,Q3384935
odang_person_73929,P27,Q20
odang_person_73929,P3373,Q4994629
odang_person_73929,P569,990
odang_person_73929,message,133
148,refersTo,odang_person_4925395
odang_person_4925395,label_it,Gene D. Block
odang_person_4925395,P106,Q3400985
odang_person_4925395,P108,Q213439
odang_person_4925395,P19,Q432255
odang_person_4925395,P21,Q6581097
odang_person_4925395,P27,Q30
odang_person_4925395,P463,Q463303
odang_person_4925395,P569,1948
odang_person_4925395,message,148
4,refersTo,odang_person_6394176
odang_person_6394176,label_it,Ron van den Hout
odang_person_6394176,P106,Q250867
odang_person_6394176,P19,Q9871
odang_person_6394176,P21,Q6581097
odang_person_6394176,P27,Q29999
odang_person_6394176,P39,Q1144278
odang_person_6394176,P569,1964
odang_person_6394176,message,4
84,refersTo,odang_person_90930
odang_person_90930,label_it,Juan Garmendia
odang_person_90930,P106,Q36180
odang_person_90930,P1412,Q1321
odang_person_90930,P19,Q932766
odang_person_90930,P20,Q14325
odang_person_90930,P21,Q6581097
odang_person_90930,P27,Q29
odang_person_90930,P463,Q202042
odang_person_90930,P569,1898
odang_person_90930,message,84
45,refersTo,odang_person_3832775
odang_person_3832775,label_it,Yvette Monginou
odang_person_3832775,P106,Q4009406
odang_person_3832775,P1412,Q150
odang_person_3832775,P19,Q188776
odang_person_3832775,P21,Q6581072
odang_person_3832775,P27,Q142
odang_person_3832775,P569,1927
odang_person_3832775,message,45
136,refersTo,odang_person_7463418
odang_person_7463418,label_it,Masoud Salim
odang_person_7463418,P102,Q1094460
odang_person_7463418,P103,Q7838
odang_person_7463418,P106,Q82955
odang_person_7463418,P1412,Q1860
odang_person_7463418,P19,Q157904
odang_person_7463418,P21,Q6581097
odang_person_7463418,P27,Q924
odang_person_7463418,P39,Q17599130
odang_person_7463418,P569,1962
odang_person_7463418,message,136
96,refersTo,odang_person_6759299
odang_person_6759299,label_it,Concetta Dodaro
odang_person_6759299,P106,Q1650915
odang_person_6759299,message,96
16,refersTo,odang_person_3710093
odang_person_3710093,label_it,Alison Kervin
odang_person_3710093,P106,Q13219447
odang_person_3710093,P1412,Q1860
odang_person_3710093,P166,Q10762848
odang_person_3710093,P21,Q6581072
odang_person_3710093,P27,Q145
odang_person_3710093,P569,1969
odang_person_3710093,message,16
1,refersTo,odang_person_9175956
odang_person_9175956,label_it,Eve-Marie Lampron
odang_person_9175956,P21,Q6581072
odang_person_9175956,message,1
48,refersTo,odang_person_2393057
odang_person_2393057,label_it,Wilhelm Leichum
odang_person_2393057,P106,Q11513337
odang_person_2393057,P19,Q14920
odang_person_2393057,P20,Q891
odang_person_2393057,P21,Q6581097
odang_person_2393057,P27,Q1206012
odang_person_2393057,P569,1911
odang_person_2393057,message,48
191,refersTo,odang_person_44439
odang_person_44439,label_it,Florian Vachon
odang_person_44439,P106,Q2309784
odang_person_44439,P1412,Q150
odang_person_44439,P19,Q193256
odang_person_44439,P21,Q6581097
odang_person_44439,P27,Q142
odang_person_44439,P569,1985
odang_person_44439,message,191
70,refersTo,odang_person_3951150
odang_person_3951150,label_it,Norbert Möller
odang_person_3951150,P102,Q49768
odang_person_3951150,P106,Q82955
odang_person_3951150,P1412,Q188
odang_person_3951150,P19,Q4346
odang_person_3951150,P21,Q6581097
odang_person_3951150,P27,Q16957
odang_person_3951150,P569,1959
odang_person_3951150,message,70
76,refersTo,odang_person_6952528
odang_person_6952528,label_it,Elisabeth von Weissenburg
odang_person_6952528,P21,Q6581072
odang_person_6952528,P569,1428
odang_person_6952528,message,76
63,refersTo,odang_person_6034871
odang_person_6034871,label_it,Philip Filleul
odang_person_6034871,P106,Q13382576
odang_person_6034871,P1412,Q1860
odang_person_6034871,P19,Q22889
odang_person_6034871,P20,Q936183
odang_person_6034871,P21,Q6581097
odang_person_6034871,P27,Q145
odang_person_6034871,P569,1885
odang_person_6034871,message,63
32,refersTo,odang_person_8070576
odang_person_8070576,label_it,Eugenio Ambrosi
odang_person_8070576,P21,Q6581097
odang_person_8070576,P569,1951
odang_person_8070576,message,32
77,refersTo,odang_person_4852429
odang_person_4852429,label_it,Wolf-Dietrich von Fircks-Burgstaller
odang_person_4852429,P1412,Q188
odang_person_4852429,P19,Q3033
odang_person_4852429,P21,Q6581097
odang_person_4852429,P27,Q183
odang_person_4852429,P39,Q212071
odang_person_4852429,P569,1948
odang_person_4852429,message,77
116,refersTo,odang_person_2410255
odang_person_2410255,label_it,Andrew Urdiales
odang_person_2410255,P106,Q484188
odang_person_2410255,P19,Q1297
odang_person_2410255,P20,Q912407
odang_person_2410255,P21,Q6581097
odang_person_2410255,P27,Q30
odang_person_2410255,P569,1964
odang_person_2410255,message,116
172,refersTo,odang_person_4962508
odang_person_4962508,label_it,Mohamed Ali Hafez
odang_person_4962508,P103,Q13955
odang_person_4962508,P106,Q1930187
odang_person_4962508,P1412,Q13955
odang_person_4962508,P21,Q6581097
odang_person_4962508,P27,Q79
odang_person_4962508,P569,1937
odang_person_4962508,message,172
56,refersTo,odang_person_3944407
odang_person_3944407,label_it,Johann Zeilberger
odang_person_3944407,P106,Q43845
odang_person_3944407,P20,Q1741
odang_person_3944407,P21,Q6581097
odang_person_3944407,P39,Q42744067
odang_person_3944407,P569,1831
odang_person_3944407,message,56
93,refersTo,odang_person_3606762
odang_person_3606762,label_it,Anthony Wolfe
odang_person_3606762,P106,Q937857
odang_person_3606762,P166,Q5066118
odang_person_3606762,P19,Q629590
odang_person_3606762,P21,Q6581097
odang_person_3606762,P27,Q754
odang_person_3606762,P569,1983
odang_person_3606762,message,93
76,refersTo,odang_person_1302507
odang_person_1302507,label_it,Giuseppe Borzellino
odang_person_1302507,P106,Q4594605
odang_person_1302507,P1412,Q652
odang_person_1302507,P166,Q14539974
odang_person_1302507,P19,Q2656
odang_person_1302507,P20,Q1891
odang_person_1302507,P21,Q6581097
odang_person_1302507,P27,Q38
odang_person_1302507,P39,Q1714174
odang_person_1302507,P569,1923
odang_person_1302507,message,76
22,refersTo,odang_person_3616019
odang_person_3616019,label_it,Vasile Andrei
odang_person_3616019,P106,Q12369333
odang_person_3616019,P1412,Q7913
odang_person_3616019,P19,Q8272784
odang_person_3616019,P21,Q6581097
odang_person_3616019,P27,Q218
odang_person_3616019,P569,1955
odang_person_3616019,message,22
48,refersTo,odang_person_7686491
odang_person_7686491,label_it,María Esther Irigoyen Camacho
odang_person_7686491,P106,Q1650915
odang_person_7686491,P108,Q6156347
odang_person_7686491,P21,Q6581072
odang_person_7686491,P27,Q96
odang_person_7686491,message,48
70,refersTo,odang_person_8397718
odang_person_8397718,label_it,Damir Sireta
odang_person_8397718,P21,Q6581097
odang_person_8397718,P569,1963
odang_person_8397718,message,70
10,refersTo,odang_person_1028298
odang_person_1028298,label_it,Mohamed Kashoggi
odang_person_1028298,P106,Q639669
odang_person_1028298,message,10
168,refersTo,odang_person_1265679
odang_person_1265679,label_it,Samir Subash Naik
odang_person_1265679,P106,Q937857
odang_person_1265679,P19,Q1156
odang_person_1265679,P21,Q6581097
odang_person_1265679,P27,Q668
odang_person_1265679,P569,1979
odang_person_1265679,message,168
27,refersTo,odang_person_3613227
odang_person_3613227,label_it,Benjamin Christensen
odang_person_3613227,P106,Q2526255
odang_person_3613227,P1412,Q188
odang_person_3613227,P19,Q21176
odang_person_3613227,P20,Q1748
odang_person_3613227,P21,Q6581097
odang_person_3613227,P27,Q35
odang_person_3613227,P569,1879
odang_person_3613227,message,27
122,refersTo,odang_person_6073214
odang_person_6073214,label_it,Antonio Mezzanotte
odang_person_6073214,P106,Q36180
odang_person_6073214,P1412,Q652
odang_person_6073214,P19,Q3437
odang_person_6073214,P20,Q3437
odang_person_6073214,P21,Q6581097
odang_person_6073214,P27,Q170174
odang_person_6073214,P569,1786
odang_person_6073214,message,122
92,refersTo,odang_person_1504924
odang_person_1504924,label_it,Yelü Zhigu
odang_person_1504924,P172,Q218332
odang_person_1504924,P21,Q6581072
odang_person_1504924,P22,Q4989
odang_person_1504924,P26,Q47261104
odang_person_1504924,P27,Q4958
odang_person_1504924,P3373,Q4991
odang_person_1504924,P40,Q8254163
odang_person_1504924,message,92
145,refersTo,odang_person_1215159
odang_person_1215159,label_it,Rabia Balkhi
odang_person_1215159,P106,Q49757
odang_person_1215159,P1412,Q9168
odang_person_1215159,P19,Q182159
odang_person_1215159,P20,Q182159
odang_person_1215159,P21,Q6581072
odang_person_1215159,P27,Q12150341
odang_person_1215159,P569,1000
odang_person_1215159,message,145
191,refersTo,odang_person_4680118
odang_person_4680118,label_it,Luca Dall'Oglio
odang_person_4680118,P106,Q23868946
odang_person_4680118,P21,Q6581097
odang_person_4680118,P27,Q39
odang_person_4680118,P569,1999
odang_person_4680118,message,191
24,refersTo,odang_person_8498943
odang_person_8498943,label_it,Dannielle Tegeder
odang_person_8498943,P106,Q483501
odang_person_8498943,P21,Q6581072
odang_person_8498943,P27,Q30
odang_person_8498943,P569,1971
odang_person_8498943,message,24
99,refersTo,odang_person_7977824
odang_person_7977824,label_it,Otto Weinreich
odang_person_7977824,P106,Q61996187
odang_person_7977824,P1412,Q188
odang_person_7977824,P19,Q2865
odang_person_7977824,P21,Q6581097
odang_person_7977824,P27,Q183
odang_person_7977824,P569,1882
odang_person_7977824,message,99
28,refersTo,odang_person_6070277
odang_person_6070277,label_it,Josef Liesler
odang_person_6070277,P106,Q1028181
odang_person_6070277,P1412,Q9056
odang_person_6070277,P166,Q1141859
odang_person_6070277,P19,Q11895462
odang_person_6070277,P20,Q1085
odang_person_6070277,P21,Q6581097
odang_person_6070277,P27,Q213
odang_person_6070277,P569,1912
odang_person_6070277,P937,Q1085
odang_person_6070277,message,28
83,refersTo,odang_person_7596198
odang_person_7596198,label_it,Maria Oberbreyer
odang_person_7596198,P106,Q4009406
odang_person_7596198,P1412,Q188
odang_person_7596198,P21,Q6581072
odang_person_7596198,P27,Q40
odang_person_7596198,P569,1921
odang_person_7596198,message,83
28,refersTo,odang_person_1293940
odang_person_1293940,label_it,Raúl Conti
odang_person_1293940,P106,Q937857
odang_person_1293940,P1412,Q1321
odang_person_1293940,P19,Q921239
odang_person_1293940,P20,Q921239
odang_person_1293940,P21,Q6581097
odang_person_1293940,P27,Q414
odang_person_1293940,P569,1928
odang_person_1293940,message,28
178,refersTo,odang_person_7540844
odang_person_7540844,label_it,Jonah Kinigstein
odang_person_7540844,P106,Q1028181
odang_person_7540844,P21,Q6581097
odang_person_7540844,P27,Q30
odang_person_7540844,P569,1923
odang_person_7540844,message,178
198,refersTo,odang_person_316571
odang_person_316571,label_it,John L'Heureux
odang_person_316571,P106,Q250867
odang_person_316571,P19,Q2423149
odang_person_316571,P21,Q6581097
odang_person_316571,P27,Q30
odang_person_316571,P569,1934
odang_person_316571,message,198
193,refersTo,odang_person_8701326
odang_person_8701326,label_it,Mariano Quihuis
odang_person_8701326,P102,Q383718
odang_person_8701326,P106,Q82955
odang_person_8701326,P1412,Q1321
odang_person_8701326,P19,Q46422
odang_person_8701326,P21,Q6581097
odang_person_8701326,P27,Q96
odang_person_8701326,P39,Q18534310
odang_person_8701326,P569,1965
odang_person_8701326,P937,Q1489
odang_person_8701326,message,193
95,refersTo,odang_person_6068582
odang_person_6068582,label_it,Robert Charvin
odang_person_6068582,P106,Q82955
odang_person_6068582,P1412,Q150
odang_person_6068582,P19,Q33959
odang_person_6068582,P21,Q6581097
odang_person_6068582,P27,Q142
odang_person_6068582,P39,Q3780304
odang_person_6068582,P463,Q48565253
odang_person_6068582,P569,1938
odang_person_6068582,message,95
69,refersTo,odang_person_7296892
odang_person_7296892,label_it,Bob Gilstrap
odang_person_7296892,P106,Q11607585
odang_person_7296892,P21,Q6581097
odang_person_7296892,P27,Q30
odang_person_7296892,P569,1974
odang_person_7296892,message,69
60,refersTo,odang_person_3651968
odang_person_3651968,label_it,Ras Dumisani
odang_person_3651968,P106,Q639669
odang_person_3651968,P1412,Q150
odang_person_3651968,P19,Q183292
odang_person_3651968,P21,Q6581097
odang_person_3651968,P27,Q142
odang_person_3651968,P569,1973
odang_person_3651968,message,60
164,refersTo,odang_person_317650
odang_person_317650,label_it,Philippa Garety
odang_person_317650,P106,Q212980
odang_person_317650,P108,Q245247
odang_person_317650,P1412,Q1860
odang_person_317650,P21,Q6581072
odang_person_317650,P27,Q145
odang_person_317650,P569,1957
