s,o,entity
odang_person_2392042,P166,Q1062026
odang_person_2498706,P106,Q42973
odang_person_7461903,P21,Q6581097
odang_person_8399567,P106,Q1930187
odang_person_7165368,P40,Q100135417
Q81066,label,segretario generale delle Nazioni Unite
Q16783695,label,Julien Hollande
odang_person_7181674,P103,Q652
odang_person_5127790,P39,Q30524710
odang_person_2392327,P166,Q3638154
odang_person_1197470,P39,Q4416090
Q111906,label,San Clemente
odang_person_4122197,P102,Q47817
odang_person_3654012,P27,Q38
Q37562,label,Donatello
odang_person_2399516,P106,Q183945
odang_person_8361204,P102,Q3550463
odang_person_5209347,P27,Q38
odang_person_435,P166,Q3638154
odang_person_8759218,P1412,Q652
odang_person_5986396,P106,Q214917
odang_person_8381948,P106,Q2478141
odang_person_2408532,P27,Q15180
odang_person_8465947,P1412,Q652
odang_person_8470826,P27,Q172579
odang_person_5970863,P53,Q1159953
odang_person_4882592,P106,Q245068
odang_person_1204742,P166,Q277787
odang_person_4880821,P27,Q4948
odang_person_4778023,P166,Q1143095
odang_person_7274506,P1412,Q652
odang_person_5999017,P19,Q178725
odang_person_4794667,P20,Q53130
odang_person_4784191,P166,Q19858107
odang_person_4883811,P19,Q13666
odang_person_2391424,P39,Q18558478
odang_person_3600163,P1038,Q3615995
Q923261,label,Giuseppe Mangiarotti
odang_person_2494084,P106,Q2526255
odang_person_8468425,P21,Q6581097
Q1022487,label,Ain Karem
odang_person_5971092,P166,Q613627
odang_person_4876937,P1412,Q652
odang_person_2920788,P569,1962
odang_person_105252,P937,Q220
odang_person_4812284,P103,Q652
odang_person_5999017,P569,1988
odang_person_43602,P27,Q172579
odang_person_2412729,P106,Q28389
odang_person_38645,P106,Q82955
odang_person_3620821,P27,Q38
odang_person_11134,P39,Q75178
Q668699,label,Partito Operaio di Unificazione Marxista
odang_person_4777860,P166,Q5122602
odang_person_6007939,P569,1964
odang_person_65290,P106,Q333634
odang_person_1217541,P1412,Q652
odang_person_3602245,P106,Q1930187
odang_person_7165369,P166,Q1526935
odang_person_1197470,P106,Q36180
odang_person_3593964,P19,Q1449
odang_person_4880660,P20,Q490
odang_person_7200508,P21,Q6581097
Q15117228,label,cavaliere dell'Ordine del Toson d'oro
odang_person_6005591,P27,Q38
odang_person_3591359,P21,Q6581097
odang_person_8376896,P20,Q617
odang_person_4777994,P102,Q622441
odang_person_8361622,P166,Q14539884
odang_person_2417778,P102,Q815348
odang_person_1307084,P106,Q1930187
odang_person_2398661,P1412,Q150
odang_person_2402975,P937,Q6602
Q627778,label,Tony Award alla miglior attrice non protagonista in un'opera teatrale
odang_person_6000382,P166,Q2462064
odang_person_4778116,P569,1625
odang_person_107672,P103,Q652
odang_person_7186396,P166,Q67504641
odang_person_7173284,P19,Q495
odang_person_2760603,P26,Q3052772
odang_person_7173977,P39,Q18558478
odang_person_3591684,P937,Q31
odang_person_1283930,P19,Q220
Q18882653,label,senatore del Cile
odang_person_5971419,P103,Q1860
Q3751186,label,Franco Calamandrei
odang_person_8361059,P1066,Q70793
odang_person_907,P106,Q121594
odang_person_8360902,P40,Q3302174
odang_person_11175,P40,Q6552076
odang_person_8463430,P1412,Q652
odang_person_1214534,P1412,Q652
odang_person_4804681,P19,Q289693
odang_person_4793416,P20,Q39501
odang_person_7190819,P27,Q38
odang_person_4887513,P106,Q384593
odang_person_4788680,P39,Q36634044
odang_person_7175987,P27,Q38
odang_person_6277757,P569,1952
Q23015483,label,sindaco di Brescia
odang_person_1197374,P39,Q40779
odang_person_2407777,P19,Q736742
odang_person_8360906,P463,Q688638
odang_person_3585620,P166,Q13452531
odang_person_1305605,P19,Q6761
odang_person_8361204,P166,Q51527076
odang_person_7176695,P21,Q6581097
odang_person_5971712,P3373,Q310918
odang_person_11769,P106,Q282718
odang_person_2500333,P937,Q6602
Q28229622,label,Movimento Nazionale per la Sovranità
odang_person_8362711,P26,Q266991
odang_person_3893137,P569,1974
odang_person_4884293,P569,1947
odang_person_2392275,P106,Q82955
odang_person_6334984,P1412,Q652
odang_person_6073188,P937,Q220
odang_person_5977920,P119,Q695891
odang_person_6075662,P27,Q38
odang_person_6269487,P1412,Q652
odang_person_4226574,P551,Q1014139
odang_person_2398353,P166,Q48786
odang_person_8373230,P106,Q201788
odang_person_1628464,P19,Q2028
odang_person_21434,P1412,Q652
odang_person_5982373,P21,Q6581097
odang_person_7166037,P166,Q20886603
Q15070044,label,Malia Obama
odang_person_3690292,P1412,Q652
odang_person_3646435,P39,Q18558478
odang_person_8464728,P39,Q105296814
odang_person_7165634,P1066,Q297945
odang_person_10213,P108,Q230492
odang_person_5334029,P21,Q6581097
odang_person_7165093,P106,Q18814623
odang_person_1298655,P102,Q1054567
odang_person_2405413,P937,Q220
Q1897112,label,skipper
odang_person_1197437,P551,Q1794
odang_person_5977795,P106,Q4263842
Q983275,label,Francesco Botticini
odang_person_7173736,P19,Q546
odang_person_1306007,P39,Q47531020
odang_person_8464728,P166,Q14539974
odang_person_3783903,P27,Q38
odang_person_4813999,P106,Q49476
odang_person_7165799,P1412,Q1321
odang_person_3585801,P166,Q4188054
odang_person_1302475,P569,1902
odang_person_11197,P937,Q220
odang_person_5978250,P21,Q6581097
odang_person_6031366,P106,Q1930187
odang_person_8469133,P106,Q2526255
odang_person_1306764,P27,Q1747689
odang_person_7176169,P27,Q38
odang_person_1204742,P21,Q6581097
Q517,label,Napoleone Bonaparte
odang_person_7273638,P19,Q220
odang_person_5030385,P106,Q81096
odang_person_2398353,P166,Q604370
odang_person_4880797,P27,Q2577303
odang_person_2399038,P19,Q2044
Q514665,label,Ludovico Quaroni
odang_person_6080672,P27,Q38
odang_person_646,P27,Q38
odang_person_6514634,P21,Q6581072
Q587102,label,Robert Downey Sr.
odang_person_4785124,P21,Q6581072
odang_person_3584742,P106,Q901
odang_person_1244236,P106,Q201788
odang_person_2399736,P1412,Q652
odang_person_5109197,P21,Q6581097
Q23958341,label,presidente della giuria del festival di Cannes
odang_person_6289665,P166,Q56241840
Q83823,label,Ferrovie dello Stato Italiane
odang_person_4802521,P106,Q1930187
Q292708,label,Randi Zuckerberg
odang_person_5063539,P106,Q82955
odang_person_1200104,P106,Q1607826
odang_person_5982903,P106,Q13218361
odang_person_1197991,P27,Q10295972
Q159112,label,Michajlovsk
odang_person_5971612,P106,Q177220
Q384437,label,ordine del Leone
Q441551,label,Anna Maria Corazza Bildt
odang_person_2391516,P20,Q3955
odang_person_102201,P569,1951
odang_person_1219897,P39,Q26251991
odang_person_2423258,P21,Q6581097
odang_person_1218183,P569,1954
odang_person_8470531,P1412,Q652
Q122328,label,Carlo Maderno
Q112117,label,Sofia d'Asburgo-Lorena
odang_person_2392327,P106,Q33999
odang_person_7164994,P39,Q20203006
Q12119633,label,immunologo
Q4007902,label,Valerio Onida
odang_person_3617858,P569,1948
odang_person_3593029,P21,Q6581097
odang_person_3693361,P102,Q47729
odang_person_5971035,P166,Q4335903
odang_person_2392284,P27,Q3870
odang_person_4778949,P106,Q40348
Q18683546,label,presidente della Sardegna
odang_person_45979,P27,Q38
odang_person_7268543,P27,Q172579
odang_person_7165047,P106,Q22343478
odang_person_3584621,P166,Q1300431
odang_person_8361781,P21,Q6581072
Q194540,label,medaglia del giubileo di diamante di Elisabetta II
Q94955,label,San Severino Marche
Q86124475,label,Maestro dell'Ordine dei Predicatori
Q13562227,label,National Women's Political Caucus
odang_person_2403041,P106,Q82955
odang_person_24948,P166,Q16581280
odang_person_8736436,P1412,Q13955
odang_person_5979387,P166,Q19909380
odang_person_526082,P103,Q652
odang_person_7184397,P1412,Q32724
odang_person_8387351,P6886,Q652
odang_person_5984384,P106,Q937857
odang_person_5998587,P166,Q30868915
odang_person_4796929,P21,Q6581072
odang_person_646,P3373,Q3742011
odang_person_8410374,P27,Q38
odang_person_1298514,P21,Q6581097
Q62,label,San Francisco
odang_person_5971380,P25,Q107341065
odang_person_7185417,P569,1918
odang_person_8377191,P19,Q220
odang_person_2748085,P1412,Q9307
odang_person_5983527,P106,Q15296811
odang_person_7243923,P40,Q1983067
odang_person_1596842,P27,Q38
odang_person_1208972,P1412,Q1860
odang_person_999,P26,Q23123643
odang_person_4780482,P166,Q34476636
odang_person_2498551,P937,Q5990
odang_person_1301788,P39,Q26305375
odang_person_3646435,P937,Q490
Q14925,label,Mühlhausen/Thüringen
Q55045153,label,ministro per il Sud e la coesione territoriale della Repubblica Italiana
odang_person_2497259,P166,Q14539974
odang_person_49,P40,Q112607
Q2945648,label,La Casona
odang_person_1197595,P166,Q1102214
odang_person_8360906,P21,Q6581097
odang_person_8540302,P106,Q82955
odang_person_3596533,P102,Q541679
odang_person_8372714,P26,Q63121013
odang_person_3608703,P106,Q49757
odang_person_10580,P1066,Q599279
odang_person_4778116,P463,Q188771
odang_person_2318894,P569,1964
odang_person_2408532,P27,Q159
odang_person_5970856,P937,Q188190
odang_person_1198431,P19,Q12439
Q47066,label,Asiago
odang_person_4787502,P19,Q190963
odang_person_7384273,P569,1929
odang_person_7183290,P21,Q6581097
odang_person_8368594,P166,Q928314
odang_person_11134,P39,Q104817028
odang_person_2498983,P39,Q14469746
odang_person_3686409,P108,Q13371
odang_person_8399567,P1038,Q1404336
odang_person_3918601,P19,Q220
odang_person_2413944,P937,Q220
odang_person_2409220,P19,Q380501
odang_person_2391553,P103,Q150
odang_person_1197352,P1412,Q1321
odang_person_1484485,P1412,Q652
odang_person_5978436,P166,Q20857526
Q3713758,label,Donato Etna
odang_person_76245,P166,Q104783509
odang_person_7258232,P463,Q3744515
odang_person_4777898,P166,Q42309521
odang_person_7194996,P569,1957
odang_person_5984384,P106,Q628099
odang_person_5971260,P19,Q220
odang_person_3593695,P1412,Q652
odang_person_3674984,P102,Q738439
odang_person_1289741,P27,Q38
odang_person_4884757,P21,Q6581072
odang_person_4778389,P166,Q1287335
odang_person_1198446,P166,Q1585689
odang_person_108180,P106,Q1281618
odang_person_8876530,P166,Q10328049
odang_person_8405765,P166,Q2108706
odang_person_8421,P1066,Q361989
odang_person_3584618,P569,7
Q20739288,label,neurobiologo
odang_person_4808823,P39,Q14469746
odang_person_3591359,P1412,Q652
odang_person_49,P106,Q82955
odang_person_3601002,P166,Q1059569
odang_person_4784694,P39,Q16145107
odang_person_1200105,P106,Q183945
odang_person_5971301,P21,Q6581097
odang_person_1589764,P1412,Q652
Q887003,label,presidente della Repubblica di Cina
odang_person_5633,P166,Q15972369
odang_person_4777861,P39,Q105296814
odang_person_7165547,P569,1965
odang_person_102683,P27,Q38
odang_person_2391427,P119,Q191414
odang_person_6838,P166,Q5593890
odang_person_2498983,P19,Q46765
odang_person_40687,P108,Q1487403
odang_person_1305536,P106,Q33999
odang_person_3612672,P106,Q13382122
odang_person_8369293,P106,Q40348
Q3791865,label,Idolina Landolfi
odang_person_1305536,P19,Q391167
odang_person_3611351,P1412,Q652
odang_person_2498998,P21,Q6581097
odang_person_8375849,P6886,Q397
odang_person_5971035,P21,Q6581097
odang_person_8361055,P166,Q1562616
Q1060024,label,Premio Marcello Mastroianni
odang_person_14405,P1412,Q1860
odang_person_2398237,P21,Q6581072
odang_person_2501491,P106,Q1885941
odang_person_2501071,P106,Q245068
odang_person_1967971,P27,Q38
odang_person_4881196,P102,Q815348
odang_person_6565229,P103,Q652
odang_person_5981151,P172,Q6158431
odang_person_1225666,P569,1603
odang_person_3621705,P6886,Q652
Q1457437,label,cimitero Troekurovskoe
odang_person_1228140,P106,Q49757
odang_person_2756,P19,Q18419
odang_person_8361665,P611,Q131132
Q813312,label,Beats International
Q3910675,label,Premio Scanno
odang_person_5979638,P27,Q38
odang_person_7165797,P3373,Q185844
odang_person_1306314,P21,Q6581097
odang_person_1617917,P19,Q220
odang_person_1199962,P1412,Q188
odang_person_8361506,P19,Q8660
odang_person_2411664,P21,Q6581097
odang_person_679537,P1412,Q13955
odang_person_7165907,P569,1914
