s,o,entity
odang_person_1267890,P27,Q38
odang_person_4784643,P463,Q2600581
odang_person_5985001,P106,Q6625963
odang_person_1197939,P39,Q58876855
odang_person_5971849,P40,Q6161441
odang_person_5978238,P1412,Q397
odang_person_4777859,P463,Q463303
odang_person_4777859,P569,1879
odang_person_4778921,P551,Q490398
odang_person_8441469,P1412,Q652
odang_person_17840,P569,1943
odang_person_8375906,P21,Q6581097
odang_person_5970904,P103,Q1860
Q642088,label,Erechim
odang_person_6004907,P166,Q708135
odang_person_7176358,P166,Q1324407
Q2482942,label,cimitero di Bagneux
odang_person_8372530,P27,Q1747689
Q1332315,label,Elliott Cresson Medal
odang_person_5982139,P106,Q183945
odang_person_4778023,P166,Q663005
odang_person_7164998,P166,Q6952406
odang_person_1306267,P21,Q6581097
Q72414,label,Portici
odang_person_1211685,P106,Q3455803
odang_person_2405833,P27,Q38
odang_person_5984689,P106,Q10798782
odang_person_16132,P166,Q206959
odang_person_8361622,P106,Q2865819
odang_person_1305074,P1412,Q652
Q1281618,label,scultore
odang_person_4784366,P937,Q13375
odang_person_4778872,P27,Q172579
odang_person_7260372,P106,Q11481802
odang_person_4778457,P40,Q18017713
Q51136224,label,Tiziano Renzi
odang_person_1617917,P19,Q220
odang_person_1211685,P166,Q123737
Q315149,label,Giovanni da Pian del Carpine
odang_person_7183231,P106,Q36834
odang_person_3897498,P1412,Q652
odang_person_5970876,P25,Q2982766
odang_person_8399611,P27,Q38
odang_person_7167666,P103,Q1860
odang_person_1224009,P166,Q2447910
odang_person_7165093,P166,Q4335903
odang_person_5970876,P166,Q179191
odang_person_8384962,P106,Q49757
odang_person_6004907,P166,Q268200
odang_person_7168729,P27,Q34266
odang_person_103,P937,Q64
odang_person_2484487,P53,Q81589
odang_person_3609021,P21,Q6581097
odang_person_8392033,P3373,Q2286760
odang_person_3585482,P3373,Q1895832
odang_person_2416555,P27,Q30
Q9192,label,cinese mandarino
odang_person_7175682,P106,Q2259451
odang_person_3602961,P166,Q276
Q72143,label,Katrin Himmler
odang_person_4778076,P39,Q27795992
odang_person_4788794,P106,Q177220
odang_person_1257647,P166,Q93900
odang_person_4162641,P19,Q19300
odang_person_3585316,P39,Q162312
odang_person_2499676,P21,Q6581097
odang_person_4122200,P106,Q82955
Q60,label,New York
odang_person_4778023,P39,Q34519445
odang_person_4778023,P166,Q614661
odang_person_7165975,P166,Q103618
odang_person_2492694,P106,Q2722764
odang_person_3692147,P1412,Q652
Q55281311,label,Adelaide De Martino
odang_person_9720,P102,Q780997
odang_person_8379218,P106,Q36834
odang_person_4777859,P108,Q708038
Q632985,label,Governo Merkel II
Q949173,label,Festival internazionale del cinema di Mar del Plata
odang_person_3691161,P106,Q3501317
odang_person_5971755,P106,Q1734662
odang_person_5971755,P26,Q108675698
odang_person_6079053,P106,Q488205
Q3609691,label,Alessandra Facchinetti
odang_person_1207330,P106,Q55960555
Q1635491,label,Ordine della Corona d'India
odang_person_4794382,P1412,Q652
odang_person_7164960,P40,Q689638
odang_person_5971849,P19,Q117382
odang_person_5057156,P569,1994
odang_person_8366960,P106,Q55960555
odang_person_1304411,P1412,Q652
odang_person_7177936,P106,Q15949613
odang_person_7165335,P119,Q3676872
odang_person_6080695,P21,Q6581097
odang_person_2391436,P106,Q7890793
odang_person_7176847,P106,Q937857
odang_person_8361107,P3373,Q56166624
Q3762525,label,Giampiero Ingrassia
odang_person_8368324,P19,Q15123
odang_person_4786799,P53,Q854070
Q269503,label,Pieve di Teco
odang_person_8379826,P106,Q831474
odang_person_4879793,P20,Q868888
odang_person_7164969,P25,Q56229514
odang_person_13681,P106,Q488205
odang_person_1211685,P26,Q5761756
odang_person_7164969,P106,Q593644
Q317038,label,medaglia Max Planck
odang_person_8438006,P20,Q656
Q2665964,label,Bruno Mussolini
Q3290404,label,Marella Agnelli
odang_person_6350745,P106,Q937857
odang_person_363,P19,Q62
odang_person_7165071,P40,Q1406718
Q478769,label,Ramacca
odang_person_8378457,P1412,Q652
odang_person_7168729,P106,Q2707485
odang_person_5984689,P106,Q2259451
odang_person_3584621,P166,Q11415564
Q486860,label,Mountain View
odang_person_84797,P3373,Q29889211
Q1450384,label,Radicali Italiani
odang_person_5990167,P106,Q15143191
odang_person_8361689,P106,Q488205
odang_person_1304411,P106,Q44508716
odang_person_8372029,P569,1453
odang_person_8366173,P937,Q1891
odang_person_8405606,P106,Q177220
odang_person_4784643,P25,Q108844434
odang_person_3585316,P166,Q18708814
odang_person_6004907,P22,Q45038334
odang_person_1207859,P27,Q38
odang_person_7176847,P21,Q6581097
odang_person_2412682,P166,Q1059569
Q18350440,label,Agnese Landini
odang_person_2776,P3373,Q314514
Q20413,label,Città di Castello
odang_person_4778872,P27,Q38
Q698102,label,William Patrick Stuart-Houston
odang_person_8361017,P1066,Q461296
odang_person_2391475,P172,Q42406
odang_person_8361772,P166,Q3841601
odang_person_8361622,P166,Q93869
Q1714174,label,giudice della Corte costituzionale della Repubblica Italiana
Q3282637,label,produttore cinematografico
odang_person_8368459,P106,Q13582652
Q3455803,label,regista
odang_person_8465106,P19,Q2634
Q84,label,Londra
odang_person_2425743,P106,Q10800557
Q2399188,label,ordine del Leone
odang_person_8361622,P166,Q106517969
Q2720676,label,Anna Maria Sforza
odang_person_4785694,P40,Q63526469
