n,name,gender
http://www.wikidata.org/entity/Q2252887,Hippolytos,male
http://www.wikidata.org/entity/Q347243,Adalbert,male
http://www.wikidata.org/entity/Q2249923,Folke,male
http://www.wikidata.org/entity/Q1282843,Viliam,male
http://www.wikidata.org/entity/Q201260,Aristion,male
http://www.wikidata.org/entity/Q200600,Selahattin,male
http://www.wikidata.org/entity/Q347181,Adam,male
http://www.wikidata.org/entity/Q2121964,Krister,male
http://www.wikidata.org/entity/Q2117521,Johannes,male
http://www.wikidata.org/entity/Q2097883,Ole,male
http://www.wikidata.org/entity/Q348263,Adalnot,male
http://www.wikidata.org/entity/Q2227528,Saulius,male
http://www.wikidata.org/entity/Q2123119,Quido,male
http://www.wikidata.org/entity/Q348332,Adalward,male
http://www.wikidata.org/entity/Q348454,Kármán,male
http://www.wikidata.org/entity/Q197531,Zhe,male
http://www.wikidata.org/entity/Q199055,Ziemowit,male
http://www.wikidata.org/entity/Q2227957,Laurens,male
http://www.wikidata.org/entity/Q2231258,Sapore,male
http://www.wikidata.org/entity/Q199420,Zigmas,male
http://www.wikidata.org/entity/Q2113358,Prospero,male
http://www.wikidata.org/entity/Q346622,Hilding,male
http://www.wikidata.org/entity/Q2117552,Pugal,male
http://www.wikidata.org/entity/Q345708,Taichi,male
http://www.wikidata.org/entity/Q1284267,Edgaras,male
http://www.wikidata.org/entity/Q353737,Deodato,male
http://www.wikidata.org/entity/Q2263613,Arduin,male
http://www.wikidata.org/entity/Q203631,Ragıp,male
http://www.wikidata.org/entity/Q199898,Slaven,male
http://www.wikidata.org/entity/Q2261950,Sead,male
http://www.wikidata.org/entity/Q1284507,Meinhard,male
http://www.wikidata.org/entity/Q204039,Ásgeir,male
http://www.wikidata.org/entity/Q2123153,Quim,male
http://www.wikidata.org/entity/Q2262068,Séamus,male
http://www.wikidata.org/entity/Q1286426,Warnfried,male
http://www.wikidata.org/entity/Q1286045,Ido,male
http://www.wikidata.org/entity/Q203150,Rino,male
http://www.wikidata.org/entity/Q203056,Vilius,male
http://www.wikidata.org/entity/Q1284293,Edgardo,male
http://www.wikidata.org/entity/Q1289244,Ilkka,male
http://www.wikidata.org/entity/Q2127308,Ragnar,male
http://www.wikidata.org/entity/Q2123437,Quirin,male
http://www.wikidata.org/entity/Q2120108,Pádraig,male
http://www.wikidata.org/entity/Q2125463,Rade,male
http://www.wikidata.org/entity/Q2125023,Rabie,male
http://www.wikidata.org/entity/Q2260734,Scott,male
http://www.wikidata.org/entity/Q352883,Addi,male
http://www.wikidata.org/entity/Q352161,Adamus,male
http://www.wikidata.org/entity/Q2257342,Bing,male
http://www.wikidata.org/entity/Q203255,Jaromir,male
http://www.wikidata.org/entity/Q1291923,Jaak,male
http://www.wikidata.org/entity/Q1287720,Vygandas,male
http://www.wikidata.org/entity/Q203232,Erhard,male
http://www.wikidata.org/entity/Q348946,Renato,male
http://www.wikidata.org/entity/Q2256715,Warren,male
http://www.wikidata.org/entity/Q2127728,Raymond,male
http://www.wikidata.org/entity/Q2127714,Raimondas,male
http://www.wikidata.org/entity/Q1290839,Hermanus,male
http://www.wikidata.org/entity/Q355713,Malte,male
http://www.wikidata.org/entity/Q1287300,Edo,male
http://www.wikidata.org/entity/Q1287085,Edmundas,male
http://www.wikidata.org/entity/Q354507,Raphael,male
http://www.wikidata.org/entity/Q2128604,Raivis,male
http://www.wikidata.org/entity/Q2130053,Rambold,male
http://www.wikidata.org/entity/Q2130048,Rambo,male
http://www.wikidata.org/entity/Q2127158,Rafiki,male
http://www.wikidata.org/entity/Q2126622,Radoslaw,male
http://www.wikidata.org/entity/Q215780,Tomaz,male
http://www.wikidata.org/entity/Q205027,Perry,male
http://www.wikidata.org/entity/Q205696,Bonifaz,male
http://www.wikidata.org/entity/Q206995,Ziya,male
http://www.wikidata.org/entity/Q2127845,Raimundas,male
http://www.wikidata.org/entity/Q1291068,Torin,male
http://www.wikidata.org/entity/Q2262123,Seán,male
http://www.wikidata.org/entity/Q2268455,Francesco,male
http://www.wikidata.org/entity/Q364753,Carlos,male
http://www.wikidata.org/entity/Q211877,Yakup,male
http://www.wikidata.org/entity/Q361309,Mike,male
http://www.wikidata.org/entity/Q361650,Loïc,male
http://www.wikidata.org/entity/Q359360,Adnan,male
http://www.wikidata.org/entity/Q1290345,Uğur,male
http://www.wikidata.org/entity/Q207142,Zlatko,male
http://www.wikidata.org/entity/Q2273214,Sergiu,male
http://www.wikidata.org/entity/Q1291430,Edvinas,male
http://www.wikidata.org/entity/Q211024,Brfxxccxxmnpcccclllmmnprxvclmnckssqlbb11116,male
http://www.wikidata.org/entity/Q2130431,Ramutis,male
http://www.wikidata.org/entity/Q2130144,Ramin,male
http://www.wikidata.org/entity/Q220484,Zoran,male
http://www.wikidata.org/entity/Q2128511,Rainhard,male
http://www.wikidata.org/entity/Q2127862,Rainald,male
http://www.wikidata.org/entity/Q1295174,Edzard,male
http://www.wikidata.org/entity/Q1294464,Oreste,male
http://www.wikidata.org/entity/Q2269247,Semir,male
http://www.wikidata.org/entity/Q2272314,Serenus,male
http://www.wikidata.org/entity/Q2278737,Shigeru,male
http://www.wikidata.org/entity/Q2279195,Shinya,male
http://www.wikidata.org/entity/Q2278696,Shigeo,male
http://www.wikidata.org/entity/Q2277847,Sheldon,male
http://www.wikidata.org/entity/Q2276445,Shahryar,male
http://www.wikidata.org/entity/Q1291401,Edvardas,male
http://www.wikidata.org/entity/Q362868,Chlodwig,male
http://www.wikidata.org/entity/Q2264223,Sedat,male
http://www.wikidata.org/entity/Q1292582,Surd,male
http://www.wikidata.org/entity/Q1292514,Genann,male
http://www.wikidata.org/entity/Q2138095,Reginhard,male
http://www.wikidata.org/entity/Q365625,Adolphe,male
http://www.wikidata.org/entity/Q221774,Édouard,male
http://www.wikidata.org/entity/Q2275863,Seymour,male
http://www.wikidata.org/entity/Q2275264,Severino,male
http://www.wikidata.org/entity/Q1294670,Stanislav,male
http://www.wikidata.org/entity/Q2133832,Ray,male
http://www.wikidata.org/entity/Q2133692,Ravi,male
http://www.wikidata.org/entity/Q2133447,Rauno,male
http://www.wikidata.org/entity/Q2131565,Rapolas,male
http://www.wikidata.org/entity/Q2131917,Rasim,male
http://www.wikidata.org/entity/Q2131584,Rapoto,male
http://www.wikidata.org/entity/Q2269105,Semih,male
http://www.wikidata.org/entity/Q2286869,Silviu,male
http://www.wikidata.org/entity/Q2285473,Sigutis,male
http://www.wikidata.org/entity/Q2286156,Mahmoed,male
http://www.wikidata.org/entity/Q1295976,Léonce,male
http://www.wikidata.org/entity/Q2287061,Simen,male
http://www.wikidata.org/entity/Q1292688,Remigijus,male
http://www.wikidata.org/entity/Q2142878,Rembrandt,male
http://www.wikidata.org/entity/Q1293119,Fatih,male
http://www.wikidata.org/entity/Q2290921,Sixten,male
http://www.wikidata.org/entity/Q2131007,Gerald,male
http://www.wikidata.org/entity/Q2136561,Reemt,male
http://www.wikidata.org/entity/Q2134463,Raşit,male
http://www.wikidata.org/entity/Q220546,Frank,male
http://www.wikidata.org/entity/Q2290783,Siva,male
http://www.wikidata.org/entity/Q2286977,Simas,male
http://www.wikidata.org/entity/Q221978,Bernhard,male
http://www.wikidata.org/entity/Q2140291,Reinaldo,male
http://www.wikidata.org/entity/Q364977,Adolfo,male
http://www.wikidata.org/entity/Q1295217,Fidelio,male
http://www.wikidata.org/entity/Q2293011,Tarō,male
http://www.wikidata.org/entity/Q2294349,Slobodan,male
http://www.wikidata.org/entity/Q2292487,Skirmantas,male
http://www.wikidata.org/entity/Q364943,Adolfas,male
http://www.wikidata.org/entity/Q2140190,Reimar,male
http://www.wikidata.org/entity/Q370292,Oleg,male
http://www.wikidata.org/entity/Q2145752,Lomme,male
http://www.wikidata.org/entity/Q2284706,Sigfús,male
http://www.wikidata.org/entity/Q2284850,Sigitas,male
http://www.wikidata.org/entity/Q2140988,Torbjörn,male
http://www.wikidata.org/entity/Q368314,Carles,male
http://www.wikidata.org/entity/Q1295762,Efe,male
http://www.wikidata.org/entity/Q365967,Adolphus,male
http://www.wikidata.org/entity/Q2143867,Tristan,male
http://www.wikidata.org/entity/Q2142900,Remeco,male
http://www.wikidata.org/entity/Q225020,Diomede,male
http://www.wikidata.org/entity/Q1295465,Eero,male
http://www.wikidata.org/entity/Q366030,Adomas,male
http://www.wikidata.org/entity/Q367122,Gaius,male
http://www.wikidata.org/entity/Q2294971,Constant,male
http://www.wikidata.org/entity/Q2148789,Ricci,male
http://www.wikidata.org/entity/Q2148234,Bram,male
http://www.wikidata.org/entity/Q2290101,Siro,male
http://www.wikidata.org/entity/Q2147259,Reza,male
http://www.wikidata.org/entity/Q1297808,Egidijus,male
http://www.wikidata.org/entity/Q2291107,Sjut,male
http://www.wikidata.org/entity/Q2156163,Robby,male
http://www.wikidata.org/entity/Q2303971,Soufiane,male
http://www.wikidata.org/entity/Q222412,Gaetan,male
http://www.wikidata.org/entity/Q370731,August,male
http://www.wikidata.org/entity/Q225099,Saburo,male
http://www.wikidata.org/entity/Q2303858,Sotiris,male
http://www.wikidata.org/entity/Q1297743,Gero,male
http://www.wikidata.org/entity/Q1297491,Simonas,male
http://www.wikidata.org/entity/Q226904,Zoticus,male
http://www.wikidata.org/entity/Q1303231,Lauri,male
http://www.wikidata.org/entity/Q1302665,Eido,male
http://www.wikidata.org/entity/Q2300499,Boyan,male
http://www.wikidata.org/entity/Q2297546,Cas,male
http://www.wikidata.org/entity/Q227327,Zsolt,male
http://www.wikidata.org/entity/Q2307004,Joakim,male
http://www.wikidata.org/entity/Q372048,Luiz Carlos,male
http://www.wikidata.org/entity/Q225898,Jagiełło,male
http://www.wikidata.org/entity/Q2159479,Wiro,male
http://www.wikidata.org/entity/Q2304036,Souleymane,male
http://www.wikidata.org/entity/Q1303426,Syriusz,male
http://www.wikidata.org/entity/Q1303610,Szókratész,male
http://www.wikidata.org/entity/Q1304070,Eilfried,male
http://www.wikidata.org/entity/Q2153208,Rimas,male
http://www.wikidata.org/entity/Q2153185,Rimantas,male
http://www.wikidata.org/entity/Q1298609,Szilárd,male
http://www.wikidata.org/entity/Q238771,Gervasio,male
http://www.wikidata.org/entity/Q376340,Narciso,male
http://www.wikidata.org/entity/Q376265,Mamoru,male
http://www.wikidata.org/entity/Q2151888,Ridvan,male
http://www.wikidata.org/entity/Q2153165,Rimandas,male
http://www.wikidata.org/entity/Q373257,Boleslaw,male
http://www.wikidata.org/entity/Q1300961,Augustine,male
http://www.wikidata.org/entity/Q2305904,Aldo,male
http://www.wikidata.org/entity/Q375094,Rostam,male
http://www.wikidata.org/entity/Q1299836,Ehregott,male
