id,mention,wp_title,ratio
Q271910,Gloria Vanderbilt,Gertrude Vanderbilt Whitney,0.5909090909090909
Q190523,Gloria Vanderbilt,Christopher Plummer,0.2777777777777778
Q2010288,Gloria Vanderbilt,Reginald Claypoole Vanderbilt,0.5652173913043478
Q6294,Hillary,Hillary Clinton,0.6363636363636364
Q33817,Hillary,Edmund Hillary,0.6666666666666666
Q232687,Hillary,Hillary Scott,0.7
Q1124,Hillary,Bill Clinton,0.3157894736842105
Q2395252,Hillary,Hillary Wolf,0.7368421052631579
Q312637,Imitatela,Curzio Malaparte,0.32
Q41166,Imitatela,Jonathan Swift,0.2608695652173913
Q3939563,Imitatela,Rocco Carabba,0.18181818181818182
Q13494188,Walter Ricciardi,Walter Ricciardi,1.0
Q56550770,Walter Ricciardi,Silvio Brusaferro,0.24242424242424243
Q8220404,Walter Ricciardi,Roberto Speranza,0.25
Q82816,Walter Ricciardi,Daniel Ricciardo,0.6875
Q695653,Walter Ricciardi,Mario Merola,0.2857142857142857
Q64840883,Walter Ricciardi,Adriano Panzironi,0.30303030303030304
Q462459,Grimaldi,Eva Grimaldi,0.8
Q3721432,Grimaldi,Elena Grimaldi,0.7272727272727273
Q456710,Grimaldi,Antonello Grimaldi,0.6153846153846154
Q254060,Grimaldi,Charlotte Grimaldi,0.6153846153846154
Q302,Gesu'....,Gesù,0.46153846153846156
Q345,Gesu'....,Maria (madre di Gesù),0.2
Q15943581,Bartolomeo Pepe,Bartolomeo Pepe,1.0
Q493716,Andrea Costa,Andrea Costa,1.0
Q672264,Andrea Costa,Andrea Costa (calciatore),0.6486486486486487
Q105672730,Andrea Costa,Andrea Costa (politico 1970),0.6
Q720549,Andrea Costa,Jair da Costa,0.64
Q3615633,Andrea Costa,Andrea Costa (violinista),0.6486486486486487
Q446151,Andrea Costa,Anna Kuliscioff,0.37037037037037035
Q37030,Thomas Mann,Thomas Mann,1.0
Q171687,Thomas Mann,Thomas Mann (attore),0.7096774193548387
Q77109,Thomas Mann,Golo Mann,0.6
Q76480,Thomas Mann,Heinrich Mann,0.5
Q77087,Thomas Mann,Klaus Mann,0.6666666666666666
Q222606,Thomas Mann,Luigi Antonio di Borbone-Condé,0.1951219512195122
Q5582274,Gonzalo Lira,Gonzalo Villagra,0.7857142857142857
Q46896,Gonzalo Lira,Zlatan Ibrahimović,0.26666666666666666
Q1537345,Gonzalo Lira,Gonzalo Duarte García de Cortázar,0.4444444444444444
Q1911,Gonzalo Lira,Olivier Giroud,0.23076923076923078
Q271814,Gonzalo Lira,Giovanni Verga,0.3076923076923077
Q440,Gonzalo Lira,Salvador Allende,0.2857142857142857
Q2708289,Cornelius Vanderbilt II,Cornelius Vanderbilt II,1.0
Q2056147,Cornelius Vanderbilt II,George Washington Vanderbilt II,0.6296296296296297
Q578647,Cornelius Vanderbilt II,William Henry Vanderbilt,0.5531914893617021
Q271910,Cornelius Vanderbilt II,Gertrude Vanderbilt Whitney,0.56
Q2010288,Cornelius Vanderbilt II,Reginald Claypoole Vanderbilt,0.5384615384615384
Q276257,Cornelius Vanderbilt II,Gladys Vanderbilt Széchenyi,0.56
Q1812538,Cornelius Vanderbilt II,William Kissam Vanderbilt,0.5833333333333334
Q3609915,Cecchi Paone,Alessandro Cecchi Paone,0.6857142857142857
Q632318,Cecchi Paone,Nando Paone,0.5217391304347826
Q3701884,Cecchi Paone,Daniele Bossari,0.14814814814814814
Q3809567,John Ratcliffe,John Ratcliffe,1.0
Q2075967,John Ratcliffe,Peter John Ratcliffe,0.8235294117647058
Q16980175,John Ratcliffe,John Ratcliffe (politico),0.717948717948718
Q193406,John Ratcliffe,Pocahontas,0.3333333333333333
Q1287852,Lou Dobbs,Lou Dobbs,1.0
Q6386365,Lou Dobbs,Kellyanne Conway,0.08
Q57384,Von Braun,Wernher von Braun,0.6153846153846154
Q76433,Von Braun,Eva Braun,0.6666666666666666
Q317521,Von Braun,Elon Musk,0.4444444444444444
Q2483517,Von Braun,Georg von Braun,0.6666666666666666
Q3802255,Isabella Giampaoli,Isabella Bossi Fedrigotti,0.5581395348837209
Q29639230,Isabella Giampaoli,Giampaolo Manfrone,0.4444444444444444
Q106614006,Isabella Giampaoli,Isabella Pallavicino,0.5789473684210527
Q1054843,Isabella Giampaoli,Micaela Ramazzotti,0.5555555555555556
Q3762484,Isabella Giampaoli,Giampaolo Rugarli,0.5142857142857142
Q1060134,Isabella Giampaoli,Bruno Vespa,0.20689655172413793
Q47563,Renzi,Matteo Renzi,0.5882352941176471
Q3615988,Renzi,Andrea Renzi (attore),0.38461538461538464
Q3837059,Renzi,Lorenzo Renzi (attore),0.37037037037037035
Q25191,Christopher Steele,Christopher Nolan,0.7428571428571429
Q3644509,Christopher Steele,Brian Steele,0.6
Q3742411,Christopher Steele,Sergej Skripal',0.24242424242424243
Q371280,Christopher Steele,George Romney,0.1935483870967742
Q380095,Christopher Steele,Christopher Meloni,0.7777777777777778
Q106997,Christopher Steele,Jamie Lee Curtis,0.23529411764705882
Q16832250,Christopher Steele,Marina Squerciati,0.2857142857142857
Q2315802,Christopher Steele,Dakota Johnson,0.1875
Q455177,Christopher Steele,Cassandra Harris,0.23529411764705882
Q208050,❗️Quindi,Leonardo Bonucci,0.16666666666666666
Q5105,❗️Quindi,Céline Dion,0.3157894736842105
Q13938,❗️Quindi,Grey DeLisle,0.1
Q472384,Giorgio Bianchi,Giorgio Bianchi,1.0
Q48438,Giorgio Bianchi,San Giorgio,0.5384615384615384
Q50003,Giorgio Bianchi,Alberto Sordi,0.21428571428571427
Q472419,Giorgio Bianchi,Leopoldo Trieste,0.25806451612903225
Q977975,Giorgio Bianchi,Walter Chiari,0.35714285714285715
Q696857,Giorgio Bianchi,Tina Pica,0.25
Q53004,Giorgio Bianchi,Vittorio De Sica,0.5161290322580645
Q524863,Giorgio Bianchi,Riccardo Billi,0.4827586206896552
Q4007796,Giorgio Bianchi,Valeria Fabrizi,0.26666666666666666
Q589645,Siluanov,Anton Siluanov,0.7272727272727273
Q4082839,Siluanov,Andrej Rėmovič Belousov,0.1935483870967742
Q56706797,banca Warburg,Guido Maria Brera,0.26666666666666666
Q219780,Hunter Thompson,Hunter Stockton Thompson,0.7692307692307693
Q168724,Hunter Thompson,Emma Thompson,0.6428571428571429
Q105660,Hunter Thompson,Holly Hunter,0.4444444444444444
Q1393310,Hunter Thompson,Soren Thompson,0.6896551724137931
Q47365,"PROBLEMI A FARLO
PER FAVORE",Maria Antonietta d'Asburgo-Lorena,0.2
Q292650,"PROBLEMI A FARLO
PER FAVORE",Mary Ann Cotton,0.19047619047619047
Q180993,"PROBLEMI A FARLO
PER FAVORE",Antonio Cassano,0.047619047619047616
Q567,Angela Merkel,Angela Merkel,1.0
Q60772,Angela Merkel,Ursula von der Leyen,0.36363636363636365
Q61053,Angela Merkel,Olaf Scholz,0.3333333333333333
Q76658,Angela Merkel,Frank-Walter Steinmeier,0.2777777777777778
Q86360415,Angela Merkel,Francesca Manzini,0.3333333333333333
Q13909,Angela Merkel,Angelina Jolie,0.5925925925925926
Q3052772,Angela Merkel,Emmanuel Macron,0.42857142857142855
Q1233,Sandro Pertini,Sandro Pertini,1.0
Q1239022,Sandro Pertini,Carla Voltolina,0.41379310344827586
Q57549685,Alvise Zaccherini,Giancarlo Susini,0.30303030303030304
Q53844829,Giuseppe Conte,Giuseppe Conte,1.0
Q3770348,Giuseppe Conte,Giuseppe Conte (scrittore),0.7
Q13581225,Giuseppe Conte,Luigi Di Maio,0.2222222222222222
Q45359418,Giuseppe Conte,Gaetano Manfredi,0.13333333333333333
Q51056,Giuseppe Conte,Francesco Giuseppe I d'Austria,0.45454545454545453
Q3956186,Giuseppe Conte,Sergio Mattarella,0.12903225806451613
Q659163,Giorgetti,Giancarlo Giorgetti,0.6428571428571429
Q3608341,Giorgetti,Alberto Giorgetti,0.6923076923076923
Q316565,Giorgetti,Giorgetto Giugiaro,0.6666666666666666
Q3939955,Giorgetti,Rodolfo Giorgetti,0.6923076923076923
Q614563,Giorgetti,Alex Giorgetti,0.782608695652174
Q3874473,Giorgetti,Nello Giorgetti,0.75
Q2084496,Giorgetti,Edoardo Giorgetti,0.6923076923076923
Q3736381,Giorgetti,Ezio Giorgetti,0.782608695652174
Q5565424,Giorgetti,Giuseppe Giorgetti,0.6666666666666666
Q317029,Ciro Isidoro,Teodoreto di Cirro,0.3333333333333333
Q1286832,Ciro Isidoro,Ciro (patriarca di Costantinopoli),0.391304347826087
Q719056,Ciro Isidoro,Isidoro I di Costantinopoli,0.358974358974359
Q3066832,Ciro Isidoro,Isidoro II Xanthopoulos,0.4
Q539,Ciro Isidoro,Giuseppe Garibaldi,0.26666666666666666
Q6182718,Jerome Powell,Jerome Powell,1.0
Q55234,Jerome Powell,Michael Powell,0.5925925925925926
Q263725,Jerome Powell,Janet Yellen,0.48
Q23530,MESSAGGIO DI MEDVEDEV all'Occidente,Dmitrij Medvedev,0.19607843137254902
Q43330,MESSAGGIO DI MEDVEDEV all'Occidente,Mikheil Saak'ashvili,0.18181818181818182
Q855,MESSAGGIO DI MEDVEDEV all'Occidente,Iosif Stalin,0.2127659574468085
Q11860,MESSAGGIO DI MEDVEDEV all'Occidente,Silvio Berlusconi,0.19230769230769232
Q921722,MESSAGGIO DI MEDVEDEV all'Occidente,Giulietto Chiesa,0.11764705882352941
Q76,MESSAGGIO DI MEDVEDEV all'Occidente,Barack Obama,0.0851063829787234
Q5598,Marcel de Graaff,Rembrandt,0.24
Q17315718,Marcel de Graaff,Laurențiu Rebega,0.375
Q554415,Terry W. Virts,Terry Virts,0.88
Q52419110,Armando Siri,Armando Siri,1.0
Q736402,Armando Siri,Matteo Messina Denaro,0.30303030303030304
Q64590420,Armando Siri,Paolo Arata,0.2608695652173913
Q15691396,Armando Siri,Umberto Del Basso De Caro,0.21621621621621623
Q3961174,Armando Siri,Simona Vicari,0.32
Q52340839,Stefano Puzzer,Pino Cabras,0.32
Q3763333,Stefano Puzzer,Gianluigi Paragone,0.3125
Q72043545,Capuozzo,Ange Capuozzo,0.7619047619047619
Q3759789,Capuozzo,Gennaro Capuozzo,0.6666666666666666
Q3993058,Capuozzo,Toni Capuozzo,0.7619047619047619
Q18202676,Capuozzo,Antonio Capuozzo,0.6666666666666666
Q3725911,Capuozzo,Enrico Mentana,0.09090909090909091
Q192506,Horowitz,Vladimir Horowitz,0.64
Q3846944,Horowitz,Margherita Horowitz,0.5925925925925926
Q279305,Horowitz,Anthony Horowitz,0.6666666666666666
Q3898086,Horowitz,Paul Horowitz,0.7619047619047619
Q921736,Horowitz,Al Horowitz,0.8421052631578947
Q473318,Horowitz,Isaiah Horowitz,0.6956521739130435
Q77148,Schmitt,Carl Schmitt,0.7368421052631579
Q108886,Schmitt,Harrison Schmitt,0.6086956521739131
Q828496,Schmitt,Bertram Schmitt,0.6363636363636364
Q287828,Schmitt,Éric-Emmanuel Schmitt,0.5
Q4704778,Schmitt,Al Schmitt,0.8235294117647058
Q76669,Schmitt,Vivian Schmitt,0.6666666666666666
