n,name
http://www.wikidata.org/entity/Q199417,Zigmantas
http://www.wikidata.org/entity/Q343579,İlhan
http://www.wikidata.org/entity/Q343476,İhsan
http://www.wikidata.org/entity/Q189775,Zenonas
http://www.wikidata.org/entity/Q2110096,Oliver
http://www.wikidata.org/entity/Q1277327,Mikail
http://www.wikidata.org/entity/Q1276891,Ealhfrith
http://www.wikidata.org/entity/Q2227522,Sauli
http://www.wikidata.org/entity/Q1278816,Eberhard
http://www.wikidata.org/entity/Q2253934,Vladimir
http://www.wikidata.org/entity/Q2252887,Hippolytos
http://www.wikidata.org/entity/Q347243,Adalbert
http://www.wikidata.org/entity/Q2249923,Folke
http://www.wikidata.org/entity/Q1282843,Viliam
http://www.wikidata.org/entity/Q201260,Aristion
http://www.wikidata.org/entity/Q200600,Selahattin
http://www.wikidata.org/entity/Q347181,Adam
http://www.wikidata.org/entity/Q2121964,Krister
http://www.wikidata.org/entity/Q2117521,Johannes
http://www.wikidata.org/entity/Q2097883,Ole
http://www.wikidata.org/entity/Q348263,Adalnot
http://www.wikidata.org/entity/Q2227528,Saulius
http://www.wikidata.org/entity/Q2123119,Quido
http://www.wikidata.org/entity/Q348332,Adalward
http://www.wikidata.org/entity/Q348454,Kármán
http://www.wikidata.org/entity/Q197531,Zhe
http://www.wikidata.org/entity/Q199055,Ziemowit
http://www.wikidata.org/entity/Q2227957,Laurens
http://www.wikidata.org/entity/Q2231258,Sapore
http://www.wikidata.org/entity/Q199420,Zigmas
http://www.wikidata.org/entity/Q2113358,Prospero
http://www.wikidata.org/entity/Q346622,Hilding
http://www.wikidata.org/entity/Q2117552,Pugal
http://www.wikidata.org/entity/Q345708,Taichi
http://www.wikidata.org/entity/Q1284267,Edgaras
http://www.wikidata.org/entity/Q353737,Deodato
http://www.wikidata.org/entity/Q2263613,Arduin
http://www.wikidata.org/entity/Q203631,Ragıp
http://www.wikidata.org/entity/Q199898,Slaven
http://www.wikidata.org/entity/Q2261950,Sead
