s,o,entity
Q1714174,label,giudice della Corte costituzionale della Repubblica Italiana
Q3455803,label,regista
odang_person_8360890,P166,Q737051
odang_person_1197595,P166,Q703237
Q84,label,Londra
odang_person_3584623,P166,Q14539720
odang_person_323,P21,Q6581097
odang_person_4785694,P40,Q63526469
odang_person_6006328,P27,Q172579
odang_person_1198301,P21,Q6581072
odang_person_1197987,P166,Q734036
odang_person_1197987,P1412,Q1860
odang_person_3587036,P27,Q183
odang_person_8368332,P1412,Q1860
odang_person_1197973,P3373,Q234695
odang_person_7691304,P39,Q14469746
odang_person_1197595,P166,Q10503452
odang_person_1306862,P166,Q3885253
odang_person_8370822,P1412,Q188
odang_person_3585192,P108,Q49167
odang_person_4785004,P106,Q937857
Q2418113,label,Kileab
odang_person_3609021,P39,Q27991508
odang_person_3644128,P166,Q14539720
Q10855226,label,Gran Croce della Legion d'Onore
odang_person_11269,P21,Q6581097
odang_person_1197352,P172,Q50001
odang_person_8384962,P21,Q6581097
odang_person_186,P20,Q35484
odang_person_4788830,P21,Q6581097
Q10871364,label,giocatore di baseball
Q2518620,label,San Isidro de El General
odang_person_7189214,P1038,Q3851410
Q15042072,label,Medaglia d'oro al valor militare
odang_person_1198301,P569,1948
odang_person_4778437,P166,Q207826
odang_person_8360890,P551,Q1297
odang_person_1197595,P166,Q1506039
odang_person_1204910,P1412,Q7026
odang_person_2391787,P21,Q6581097
Q2376126,label,Partito Fascista Repubblicano
odang_person_7165335,P119,Q60840620
odang_person_7200101,P21,Q6581097
Q35497,label,greco antico
Q13670,label,Siracusa
odang_person_8360890,P551,Q35525
Q1493021,label,National Academy of Engineering
odang_person_2409385,P39,Q19969187
odang_person_8369641,P166,Q12201477
Q16533,label,giudice
Q82151,label,Organizzazione delle Nazioni Unite per l'alimentazione e l'agricoltura
odang_person_4784705,P166,Q1478280
Q4730963,label,Aisha
odang_person_5982572,P106,Q15296811
Q3321940,label,Premio Principe delle Asturie per la cooperazione internazionale
odang_person_7736,P106,Q937857
odang_person_3595505,P1412,Q652
Q3638792,label,Bernardo Mattarella
odang_person_6398749,P27,Q45
odang_person_8375041,P19,Q105256
odang_person_7165099,P22,Q130650
odang_person_3584618,P937,Q83241
odang_person_1197595,P166,Q16968141
odang_person_2398661,P106,Q55960555
odang_person_2392348,P26,Q253328
odang_person_5978177,P166,Q518675
odang_person_7200043,P569,1965
Q19616,label,Rai
odang_person_8361270,P1066,Q455199
Q820887,label,Università degli Studi di Firenze
odang_person_3585192,P106,Q40348
odang_person_8369550,P166,Q857933
odang_person_3892253,P1412,Q652
odang_person_8373851,P21,Q6581097
Q111215,label,Montecchio Emilia
Q9063,label,sloveno
odang_person_3584619,P25,Q164294
odang_person_5978599,P106,Q578109
odang_person_84797,P102,Q23731823
odang_person_1220831,P106,Q36180
odang_person_8360972,P551,Q1506847
odang_person_7165099,P106,Q82955
odang_person_7165093,P108,Q218295
Q1144278,label,vescovo diocesano
odang_person_3584618,P1038,Q1200879
odang_person_7189214,P937,Q220
Q1058168,label,Roissy-en-Brie
odang_person_60863,P569,1970
odang_person_8369641,P106,Q28389
odang_person_3584618,P802,Q43945
Q16968141,label,Radio Disney Music Awards
odang_person_4778513,P106,Q2490358
odang_person_5970875,P166,Q97556388
odang_person_5970915,P26,Q234144
odang_person_1197987,P40,Q47509493
Q2779550,label,Maria Schicklgruber
odang_person_7164960,P27,Q518101
odang_person_8372668,P40,Q97572429
Q13422138,label,Cavaliere dell'Ordine nazionale al merito francese
Q4731396,label,Allegra Huston
Q813332,label,Beau Biden
odang_person_5979803,P27,Q30
odang_person_7164960,P106,Q4991371
Q2165248,label,Romolo Guerrieri
odang_person_7165099,P106,Q1402561
Q3400985,label,accademico
odang_person_4795653,P102,Q47720
Q112128,label,al-Husayn ibn Ali
odang_person_7273880,P106,Q1930187
Q3376,label,Trento
odang_person_3584618,P1412,Q28602
odang_person_7164960,P1038,Q22572343
odang_person_3584619,P19,Q1132798
Q20545,label,Verzuolo
odang_person_2427646,P20,Q6122
odang_person_7165335,P166,Q34473235
odang_person_8379677,P106,Q10800557
odang_person_8375004,P39,Q1541071
odang_person_3593633,P21,Q6581072
odang_person_4785004,P19,Q2067858
Q1236482,label,Marco Asinio Agrippa
odang_person_6006328,P27,Q38
Q2280628,label,tomba vuota
odang_person_2391427,P27,Q15180
odang_person_7174394,P106,Q10800557
Q17377625,label,Tim Guetta
Q29274920,label,Eurilla del Bono
odang_person_435,P106,Q28389
Q181530,label,Elena del Montenegro
odang_person_2398661,P1412,Q5146
odang_person_7165335,P39,Q33205128
odang_person_8376832,P106,Q10800557
odang_person_8369641,P27,Q145
odang_person_8395045,P21,Q6581097
odang_person_7164960,P937,Q153491
odang_person_6079432,P106,Q937857
odang_person_1302001,P27,Q38
odang_person_3892253,P19,Q490
odang_person_5978599,P106,Q177220
odang_person_8372530,P569,272
odang_person_7165179,P106,Q937857
odang_person_4794261,P6886,Q1247932
odang_person_8558867,P21,Q6581097
odang_person_1419033,P569,1991
odang_person_5978177,P106,Q10800557
odang_person_7691304,P21,Q6581097
odang_person_4840528,P25,Q181530
odang_person_108268,P103,Q652
odang_person_60863,P106,Q488205
odang_person_107438,P108,Q82151
Q308907,label,premio Lenin per la pace
Q233454,label,Scarpa d'oro
odang_person_7371,P19,Q1891
odang_person_7172123,P40,Q15293852
odang_person_2494084,P106,Q639669
Q17125263,label,youtuber
odang_person_8376832,P22,Q1160090
Q1077542,label,Adriano Giannini
odang_person_6079751,P19,Q6259
odang_person_8468783,P21,Q6581097
odang_person_2393960,P463,Q543804
odang_person_7165335,P3373,Q549097
Q6259,label,Pavia
odang_person_3585192,P937,Q138518
odang_person_2398661,P569,1974
Q17409133,label,Grande Stella dell'Ordine al merito della Repubblica austriaca
odang_person_4777951,P937,Q174224
odang_person_1287891,P569,1991
odang_person_212287,P106,Q28008159
odang_person_2391823,P166,Q664212
odang_person_3795028,P19,Q3543
odang_person_2391784,P551,Q35525
odang_person_7165335,P22,Q4255860
Q469701,label,Livia Drusilla
odang_person_8360890,P25,Q766106
odang_person_8622386,P1038,Q53015
odang_person_7165053,P25,Q10861998
odang_person_74,P551,Q2423149
odang_person_8372530,P19,Q13437
odang_person_3585486,P102,Q47795
odang_person_7181461,P106,Q177220
odang_person_1204910,P551,Q12258
odang_person_4778513,P40,Q29109895
odang_person_4785694,P40,Q16619082
Q183,label,Germania
Q18959978,label,Maria Buccellato
odang_person_7188382,P6886,Q652
odang_person_1302001,P103,Q652
odang_person_5305938,P6886,Q652
Q14924303,label,Forza Italia
Q2240036,label,Rutherford Medal and Prize
odang_person_84797,P166,Q12201477
odang_person_7164960,P20,Q64
odang_person_6245272,P106,Q937857
Q10519151,label,socio onorario
odang_person_40,P569,1986
odang_person_5978177,P166,Q908858
odang_person_3596948,P1412,Q7411
odang_person_4778076,P551,Q3360875
odang_person_7223,P106,Q82955
odang_person_8373851,P1412,Q652
odang_person_4794261,P6886,Q1321
Q5639379,label,Bimba Bosé
Q96374988,label,Premio Martinetto
odang_person_7200508,P103,Q652
odang_person_84797,P106,Q599151
odang_person_3584725,P1412,Q150
odang_person_1306862,P102,Q47729
Q957555,label,Ouragahio
Q885404,label,Nigriniano
Q980578,label,ordine di Sikatuna
odang_person_6006328,P569,1902
odang_person_5971462,P25,Q2368906
odang_person_8375004,P39,Q25514257
odang_person_4789166,P1412,Q652
Q401963,label,Ahmet Zappa
odang_person_7268194,P106,Q4610556
odang_person_5978599,P26,Q66442433
odang_person_8465633,P19,Q6285
odang_person_2498998,P106,Q937857
odang_person_4783917,P20,Q127856
Q28389,label,sceneggiatore
odang_person_1792026,P551,Q490
odang_person_8384962,P119,Q207486
odang_person_5971032,P551,Q90
odang_person_7165129,P27,Q145
odang_person_8361107,P1412,Q1860
Q1164148,label,Danish Music Awards
odang_person_7181461,P21,Q6581097
odang_person_4777951,P3373,Q98854090
Q213679,label,Pella
odang_person_1204427,P103,Q1860
odang_person_4785694,P166,Q14763384
odang_person_4784705,P27,Q36
odang_person_2391784,P39,Q1255921
odang_person_2391787,P39,Q1965788
odang_person_7164960,P39,Q17856046
odang_person_2391427,P106,Q1930187
Q959584,label,Nevada
odang_person_3591588,P39,Q1144278
Q7436953,label,Scott Newman
odang_person_2391787,P19,Q656
odang_person_5973522,P106,Q3282637
odang_person_1198059,P40,Q9352021
Q6360077,label,presidente della Camera dei deputati
odang_person_7165099,P21,Q6581097
odang_person_3591332,P551,Q1058168
Q43399,label,Andrea
odang_person_7175928,P166,Q14539729
Q3112728,label,governatore del New Jersey
Q47529004,label,presidente del Friuli-Venezia Giulia
odang_person_1197394,P19,Q1019303
Q662849,label,Alleanza Nazionale
Q159,label,Russia
odang_person_4794261,P551,Q1486
odang_person_4794799,P106,Q8246794
Q1738793,label,Kennedy Center Honors
odang_person_3688389,P6886,Q652
Q966708,label,Herbert Baxter Adams
odang_person_2391427,P103,Q7737
odang_person_6669,P106,Q2405480
odang_person_1419033,P1412,Q7979
odang_person_4793416,P1412,Q652
odang_person_2418434,P569,1994
odang_person_9720,P27,Q38
odang_person_8381872,P1412,Q652
odang_person_2405807,P1412,Q652
odang_person_4777951,P26,Q19285477
odang_person_4784968,P937,Q6602
odang_person_4794261,P25,Q21198409
Q5933,label,abbazia di Westminster
odang_person_7961,P184,Q900605
odang_person_3593594,P3373,Q2171665
odang_person_8379677,P106,Q488111
Q146027,label,One Direction
odang_person_1204427,P106,Q2405480
odang_person_1206227,P569,1986
Q105215623,label,Jordan Rock
Q372436,label,statista
odang_person_5970875,P463,Q253439
odang_person_1219547,P569,1967
odang_person_8360972,P106,Q82594
odang_person_8370822,P551,Q70629
odang_person_8368332,P106,Q49757
